,text,class
18,"horns are not shed and their bony cores are covered with a thick, persistent sheath of horny material. other groups have twisted (eg common eland), spiral (eg greater kudu), ""recurved"" (eg the reedbucks), lyrate (eg",Antelope
19,"with male-male competition for mates, horns are clashed in combat. males more commonly use their horns against each other than against another species. the boss of the horns is typically arranged in such a way that two animal striking at each other's horns cannot crackeach other's skulls.",Antelope
20,"small animal, such as dik-diks, tend to be monogamous. they live in a forest environment with patchy resources. a male is unable to monopolize more than one female due to this sparse distribution.",Antelope
21,"large grazing animal, such as impala or wildebeest, form large herds made up of many females and a single breeding male. animal pursue a number of defense strategies, often dictated by their morphology.",Antelope
22,"many forest animal rely on cryptic coloring and good hearing to avoid predators. forest animal often have very large ears and dark or striped colorations. small animal, especially duikers, evade predation by jumping into dense bush where the predator cannot pursue.",Antelope
23,"reaction distances vary with predator species and behaviour. for example, gazelles may not flee from a lion until it is closer than 200 m (650 ft) they are agile and have good endurance. these are advantages when pursued by sprint-dependent predators.",Antelope
24,"if escape is not an option, animal are capable of fighting back. oryxes in particular have been known to stand sideways like many unrelated bovids to appear larger than they are, and may charge at a predator as a last resort.",Antelope
25,"the chiru or tibetan animal is hunted for its pelt, which is used in making shahtoosh wool, used in shawls. the main causes for concern for these species are habitat loss, competition with cattle for grazing, and trophy hunting.",Antelope
26,"the saiga is hunted for its horns, which are considered an aphrodisiac by some cultures only the males have horns, and have been so heavily hunted that some herds contain up to 800 females to one male the species has shown a steep decline and is critically endangered.",Antelope
27,"the horn of the male saiga, in eastern practice, is ground as an aphrodisiac, for which it has been hunted nearly to extinction. in captivity, wildebeest have lived beyond 20 years old, and impalas have reached their late teens.",Antelope
28,"christian iconography sometimes uses the animal's two horns as a symbol of the two spiritual weapons christians possess: the old testament and the new testament. their ability to run swiftly has also led to their association with the wind, such as in the rig veda.",Antelope
29,"in mali, animal were believed to have brought the skills of agriculture to mankind.humans have also used the term ""animal"" to refer to a tradition usually found in the sport of track and field.",Antelope
30,"farm-raised animal are uncommon. because many have extremely good jumping abilities, providing adequate fencing is a challenge. animal will consistently display a fear response to perceived predators, such as humans, making them very difficult to herd or handle.",Antelope
31," humans have had success taming certain species, such as the elands. it is unknown whether they were truly domesticated, but it seems unlikely, as no domesticated gazelles exist today. these animal sometimes jump over each other's backs when alarmed.",Antelope
32,"european visitors to arabia reported ""tame gazelles are very common in the asiatic countries of which the species is a native"" in both locations, the animal has proved wholly amenable to domestication.",Antelope
33,"a wide variety of animal hybrids have been recorded in zoos, game parks, and wildlife ranches. this is due to either a lack of more appropriate mates in enclosures shared with other species or a misidentification of species.",Antelope
34,"animal are a common symbol in heraldry, though they occur in a highly distorted form from nature. with few exceptions, most hybrid animal occur only in captivity. as with most mammal hybrids, the less closely related the parents, the more likely the offspring will be sterile.",Antelope
35,"the animal was mistakenly imagined to be a monstrous beast of prey. this bizarre and inaccurate form was invented by european heralds in the middle ages. the 16th century poet edmund spenser referred to it as being ""as fierce and fell as a wolf""",Antelope
36,"the arms previously used by the republic of south africa featured a natural animal, along with an oryx. the arms also featured an animal and a oryx, as well as a lion and a tiger.",Antelope
37,"life span: 3 to 28 years, depending upon the species. age of maturity: 6 months to 8 years old. males usually mature later than females. number of young: usually 1; twins are rare.",Antelope
38,blue gnu at 51 feet (156 centimeters) at the shoulder and can reach 650 pounds (295 kilograms) at birth. royal animal is 11 ounces (300 grams) and defassa waterbuck is 31 pounds (14 kilograms),Antelope
39,"rheboks have a fast gallop, up to 40 miles (64 kilometers) per hour and are good jumpers and climbers. liberians refer to it as a jackrabbit or tricky-jack, and it is revered for its speed and nimbleness.",Antelope
40,"all animal have horns; in some species they are only found on the males. in others, such as gazelles, both males and females have them. the horns are made of a bony core encased in a hard material made largely of keratin.",Antelope
41,"some horns, like those of the addax and blackbuck, twist in interesting spirals. others are ridged or corrugated, like the impala and the sable animal. still others grow in wide curves with a sharp point on the end.",Antelope
42,"each hoof has a split down the middle, dividing the hoof into two toes. lechwes, which live in swampy areas, have long, pointed hooves to give them sure footing in the water. slender-horned gazelles have sturdy,",Antelope
43,"maxwell’s duikers use two vocalizations: an alarm whistle and a loud bleat. klipspringer make a loud, shrill whistle. large birds of prey may take young calves. but animal do have some ways to keep safe.",Antelope
44,"yellow-backed duikers dart with great speed into the protection of dense vegetation. although rheboks tend to run from danger, males have been seen attacking and chasing baboons. springbok and beira escape with bounding leaps that often confuse a predator.",Antelope
45,"steenbok often hide, lying flat against the ground with their neck outstretched. lechwes spend their life near water and can jump in and swim away if they feel threatened. they also hide in water, with only their nose sticking out.",Antelope
46,"both male and female animal have scent glands used for leaving hints of their presence. fluid secreted from this spot is wiped on grass, twigs, tree trunks, logs, stones, and even other members of the group.",Antelope
47,"duikers press their face gland on each side of an individual of the opposite sex in a behavior called mutual marking. different types of animal also make different sounds that may include bleats, bellows, grunts, moos, and more. a gerenuk’s",Antelope
48,several animal species make a warning or threat noise that sounds like a dog’s bark. males with the largest nose may be able to make low-frequency calls that indicate vigor to competitors.,Antelope
49,"most live in open grasslands, but the smaller duikers, most sunis, and royal animal live in central africa’s rainforests or wooded areas. waterbuck, as their name suggests, and lechwe are never far from water.",Antelope
50,"herds of females and their young can come and go freely, although in the breeding season, the male tries to keep them in his territory. males that are not quite full-grown or that have not established a territory form bachelor herds.",Antelope
51,"animal are herbivores, with an odd exception: some duiker species have been known to kill and eat insects, small mammals, and birds. otherwise, animal tend to browse on bushes and smaller trees or graze on grass. some animal switch back and forth,",Antelope
52,"the addax follow the rains, traveling great distances to eat the new plant growth. thomson’s gazelle follow herds of migrating gnu and zebra, which eat the tougher layer of grass. duiker often follow bird flocks or monkey troops to take advantage of the",Antelope
53,"gerenuk and dibatags have slender bodies, long thin legs, and very long necks. they can stand upright on their hind legs and stretch up with that long neck to eat leaves that other wildlife can’t reach.",Antelope
54,"duikers and dik diks live alone, in pairs, or in small groups of between 3 and 10 individuals. some animal are famous for their massive herds, like the thousands of gnu making their annual migration across the african plains.",Antelope
55,"many animal that live in large groups at least part of the year also have special scent glands on their hooves. males are not usually territorial at these times, but they leave the herd during the breeding season and stake out a territory where they compete for females.",Antelope
56,"animal calves have two survival strategies: hide out to avoid predators or start traveling right after birth to join the protection of the herd. the majority of animal use the hiding approach, including roan animal, waterbuck, klipspringer, and duikers.",Antelope
57,"in more solitary animal, the dam hides her calf and then stays nearby to guard it as she feeds. she comes back periodically to feed her calf, calling softly to it and listening for the bleat. the calf then joins the herd and may be put with the other calves in",Antelope
58,"in animal that migrate or live on large ranges, the calves are up and on their feet within a few minutes to a day or so after they are born. they often stick together as a group and are protected by adults surrounding them.",Antelope
59,"one major threat to virtually all animal is hunting, for both horns and meat. culture and human attitudes toward these animals vary. for example, in sierra leone, the royal animal neotragus pygmaeus is rarely shot, but it can get caught in sna",Antelope
60,"the royal animal makes up a significant part of the bushmeat trade in côte d’ivoire. saigas are poached for their horns, which are highly valued in traditional asian folk remedies.",Antelope
61,"in 1994, there were about 1,350,000 saigas in russia; today, there are a mere 65,000, with very few males, since poachers, who are mainly interested in the horns, take only the males. the san diego zoo safari park had a",Antelope
62,"san diego zoo wildlife alliance provides funding and expertise to saiga conservation efforts at the center for wild animals and the stepnoi reserve in russia. to help the rangers help the saigas, we provide funds for vehicles, spotting scopes, and gasoline.",Antelope
63,education is a key component of the conservation efforts. a visitor’s center now hosts programs about saigas for schoolchildren. you can help us protect animal by supporting san diego zoo wildlife alliance.,Antelope
64,"animal scientific classification: kingdom: animaliaphylum: chordata; order: artiodactyla; family: bovidae. conservation status: least concern; location: africa, asia, eurasia, north america.",Antelope
65,"with its elegant, bounding leap, the animal is an animal that roams the forests and plains of africa and asia. the animal relies on its incredible speed and agility to elude the most fearsome predators.",Antelope
66,"the animal is an animal that has played an important role in human medicine and culture. in some african traditions, it is commonly associated with the wind. the animal’s horns are composed of keratin this is the same substance found in nails, hair, claws, and",Antelope
67,"animal is more an informal classification than a scientific one. experts can often distinguish animal species based merely on the appearance of their horns. some horns form spirals, others are curved, and yet others have ridges.",Antelope
68,"animals make up approximately 91 of the 140 or so known species of the bovidae family. due to the lack of precise scientific criteria, there are many different edge cases. for instance, the pronghorn, or the american animal, is not actually a true ant",Antelope
69,"the name animal came to us from the original greek via the medieval latin, but the actual meaning of the word is currently unknown. the most distinctive feature of this order is the even number of hooves.",Antelope
70,see all of our entertaining and insightful animal articles. use the weekly newsquiz to test your knowledge of stories you saw on cnn.com. back to the page you came from.,Antelope
71,"small to medium animals such as the duikers and reedbucks are adapted to concealed cover in forests and wetlands. thanks to their short legs, round back, and large rear end, they are capable of fast, sporadic movements to elude predators.",Antelope
72,"the larger animals are built for the deserts, open plains, and savannas. they graze on the grass and rely on pure speed to help them avoid predators. they tend to congregate into large herds in which a dominant male will mate with multiple females.",Antelope
73,"animals vary dramatically in size between the small royal animal, which weighs a mere 4 pounds, and the truly gigantic eland. these herds may undertake large migrations during certain parts of the year in search of new food reservoirs and grazing land.",Antelope
74,"the body of the animal is remarkably well adapted for the consumption and digestion of vegetation. males tend to have larger bodies and horns than females. in a few species, the females may lack horns altogether, or they will have smaller horns than the males.",Antelope
75,the animal will also regurgitate the food as cud and chew it again with its well-developed molar teeth to aid in digestion. they have horizontal pupils located on the side of the head that enable them to see predators coming from the periphery of their vision.,Antelope
76,"specialized fluids secreted from scent glands around the face, knees, and hooves allow them to mark territory and communicate with other members. animals also have a suite of whistles, barks, bleats, grunts, and moos.",Antelope
77,"most of the remaining animals are found in asia, including the middle east, central asia, and the russian steppes. the animals were once prevalent across europe and the americas before going extinct there.",Antelope
78,"the animals feed almost exclusively on vegetation. the only exception is the duiker, which supplements its herbivorous diets with small amounts of meat from mammals, insects, and birds. browsers tend to feed on leaves, seeds, fruits, flowers, and bark close to",Antelope
79,"the gerenuk and dibatags have a unique strategy of standing on their hind legs to reach leaves in tall trees. it takes an enormous amount of time to break down the plant matter into a usable form, but this strategy is highly beneficial.",Antelope
80,"animals are some of the most common prey animals in africa. they make a tempting meal for cheetahs, lions, hyenas, civets, pythons, and large birds. they will actively follow bird flocks, monkey troops, or migrating zebr",Antelope
81,"these animals have a number of strategies to deal with a dangerous predator, the most important of which is their speed and agility. the cheetah, as one of the few animals fast enough to catch them, relies on its pure speed.",Antelope
82,animals are hunted by humans for both their horns and their meat. some cultures have local taboos against animal hunting. the animal can still become accidentally ensnared in traps. some species will actually freeze in place to avoid being noticed.,Antelope
83,animals pursue so many different courtship and mating rituals that it is difficult to discuss all of them in detail. breeding strategies can vary between full monogamy and a dominant breeding pair within a herd.,Antelope
84,"the mother produces only a single calf at a time, while twins are relatively rare. most animals prefer to hide the calf in a concealed location, while the mother rejoins the herd or hunts on its own.",Antelope
85,age of maturity varies widely between species. some species come of age in as little as six months. some take as long as eight years to fully develop. the females usually mature faster than the males on average.,Antelope
86,"according to the iucn red list, around a quarter of animal species are currently threatened by extinction. several have already gone extinct in the 19th and 20th centuries. even among those groups in good health, many appear to be in decline.",Antelope
87,"san diego zoo safari park has perhaps the largest collection of these animals in the united states. one of the most important denizens is a breeding herd of saigas, a critically endangered animal that inhabits the eurasian steppe.",Antelope
88,"the little rock zoo in arkansas contains three species of animals: the yellow-backed duiker, the greater kudu, and the dik-dik. the buffalo zoo contains the roan animal and the addax.",Antelope
89,"an animal is one of many horned herbivorous deer-like species with even-toed hooves there is no single scientific classification of animals, but rather multiple distinct groups. because of their immense diversity, it is difficult to classify animal into specific types",Antelope
90,"the eland is actually part of the subfamily bovinae with bison and domesticated cattle, even though it’s considered an animal. however, the following groups generally contain the majority of animal species.",Antelope
91,"hippotraginae – this subfamily includes a number of grazing animals with large bodies and thick necks, among them the oryx, the roan animal, and the sable animal. it includes the reedbucks and waterbucks.",Antelope
92,"the vast majority of animals live in the forests, savannas, wetlands, and deserts of sub-saharan africa. springboks can run nearly more than 50 mph for short bursts and 30 mph at a consistent pace.",Antelope
93,"animals feed almost exclusively on vegetation. their physiology is highly adapted for this herbivorous lifestyle. the only exception is the duiker, which also consumes meat in limited quantities. animals belong to the phylum chordata.",Antelope
94,"animal have long legs and curved antlers.predators of animal include lions, cheetahs, and crocodiles. animal belong to the family bovidae and the order artiodactyla.",Antelope
95,animal renew their horns every year! the lifespan of an animal is 10 to 25 years. animal can live for up to 50 years in some parts of the world. an animal's horns can last up to 60 years in the wild.,Antelope
96,"seven different kinds of animals: the gerenuk (litocranius walleri), the impala (aepyceros melampus), thomson's gazelle (gazella thomsonii), the common eland (taurotr",Antelope
97,"animal is not a taxonomic name but a catchall term for an astonishing variety of ruminating ungulates. one animal, the indian blackbuck, bears the latin name antilope cervicapra. the north american pronghorn animal looks and acts much",Antelope
98,"as in all of bovidae, all male animals have horns, which range from the short spikes of duikers to the corkscrew horns of the greater kudu. only 14 species inhabit the entire continent of asia, and all but three are members of the g",Antelope
99,"in gregarious species in which both sexes regularly associate in mixed herds, the horns are similarly shaped, and in female oryxes and elands they are often longer. do animals have good hearing? do gazelles have any teeth? discover the answers to these",Antelope
100,"there is a marked difference between animals of closed habitats and those of open habitats. the former (eg, duikers, reedbucks, and bushbucks) are mostly small to medium-sized animals adapted for movement through undergrowth. despite the diversity of adaptations, one important",Antelope
101,"animals of open habitats are mostly medium to large grass eaters. they are solitary, living alone or in mated pairs on home ranges defended as territories. their coloration is camouflaging.",Antelope
102,taxonomists assign animals to three subfamilies and 10 tribes that differ from one another as much as cattle differ from sheep and goats. they have a gregarious social organization and a mating system based on male territoriality.,Antelope
103,gazelles and their allies (including the blackbuck) are placed in a different subfamily (antilopinae) from sheep and goats (caprinae) several asian bovids that look and behave like animals have been shown by dna evidence to be,Antelope
104,"animals are classified into the following subfamilies and tribes of the family bovidae: aepycerotini (impalas), subfamily bovinae, bovini.",Antelope
105,"                tribe tragelaphini (spiral-horned animals, including kudus, elands, nyalas, and bushbucks)                subfamily cephalophinae  tribe cephalophini",Antelope
106,"the majority of the 91 animal species are found in africa and include gnus and gazelles. some species also occur in india, central asia, russia, and the arabian peninsula.",Antelope
107,"animals are distinct from other hoofed mammals like sheep, cattle and goats. their height and weight can also vary enormously depending on species. a common eland may measure around 70 inches tall with a weight of 2,090 lb, but its diminutive relative, the royal",Antelope
108,"animal are typically known for speed, with long, slender legs, enabling them to take long strides. the average adult lifespan of animal is also hard to determine, since older or ill individuals tend to be slower. some species have lived beyond 20 years of age.",Antelope
109,"the saiga animal has an oversized, snout-like nose structure that helps to filter and warm the air it breathes. they have dense coats of short fur, varying from some form of brown to grey, silver, black and white patterning.",Antelope
110,"while some species browse mainly on grass stems and leaves, others eat fungi, fruit and leaves from the forest floor. one or two species of duiker animal have also been known to eat insects, birds, and occasionally small mammals as well.",Antelope
111,"as herbivores, animal are prey animals, and have evolved some very effective ways to defend themselves. besides being fast runners or jumpers, they also have extremely sensitive senses of smell and hearing, as well as eyes on each side of their head.",Antelope
112,"animal communicate with each other using ‘rump flashes’ (a danger signal), raised hair crests, and audible communications like whistles, barks, moos, and trumpets. scent marking by rubbing their face on grass, trees, stones and logs is",Antelope
113,"both males and females of most species have horns (with some exceptions) some animals have simple ‘spike’ type projections, while others have straight, twisted, spiral or long curved horns.",Antelope
114,"mating behavior can vary quite significantly between different animal species, though as mammals, all animal give birth to and nurse live young. smaller animals tend to remain with a single mate, since they often live in areas with lower resources and larger population distribution.",Antelope
115,"the age that an animal reaches sexual maturity can range from 6 months to 4 years. animal calves are usually born singly, and animal females native to forested areas will usually hide their young, only coming to feed them.",Antelope
116,"although there are still large native populations of some gazelles in africa and asia, there are also many species of animal on the iucn endangered list. these include the dama gazelle, giant sable animal, and nyala.",Antelope
117,"the tibetan animal is traditionally hunted for its pelt, and the saiga animal for its horns. the saiga is listed as a class i protected species in china and critically endangered elsewhere. its horns are considered an aphrodisiac in chinese culture.",Antelope
118,"sitatunga (tragelaphus spekei) are amphibious animals associated with wetlands. three subspecies occur (respectively) in the congo basin, around lake victoria, and in the bangweulu, zambesi and okavango basins.",Antelope
119,"sitatunga have splayed hooves that improve swimming ability and enable them to walk on floating islands of vegetation. the coat is shaggy, and is covered with an oily, water-repellent secretion. the lechwe (kobus leche) has",Antelope
120,"riparian swamps and river floodplains in africa are also home to bohor reedbuck (redunca redunca), the bushbuck (tragelaphus scriptus), the puku (k. leche kafuensis) and nile le",Antelope
121,the waterbuck is the larger of the two kobus spp. it is a much larger (up to 2000 kg) and more abundant than puku. it consumes reeds such as phragmites and typha as well as riparian grasses.,Antelope
122,"the water chevrotain (hyemoschus aquaticus) is a member of the tragulidae, an artiodactyl family. it has a highly fragmented range from sierra leone through the congo to western uganda. chevrotains frequently visit marshes and wetlands",Antelope
123,"321 group size in african animals. african animals vary tremendously in size, diet, habitat use, and group size. jarman (1974) used data from 75 species to uncover relationships between ecology and social tendencies.",Antelope
124,"the need to cover a wide feeding area to track annual fluctuation in roughage quality and abundance may also favour a larger body size. species living in small groups may have little defence against larger predators, and may thus seek to hide.",Antelope
125,this study had a large impact on subsequent research despite lacking proper statistical testing. a detailed phylogeny of animal species was lacking at the time. no attempt was made to control for the fact that closely related species may show similar behaviour partly in response to shared ancestry.,Antelope
126,"3 covariation in group size, body mass, and diet in african animals. species that feed on rough vegetation, rather than specialized plant parts, tend to live in larger groups. selective browsers are represented by three groups (filled diamonds, filled squares, crosses)",Antelope
127,a re-analysis of the data using statistical techniques to control for shared ancestry enables us to re-evaluate these previous qualitative conclusions. both body size and group size still covary with diet. the overall positive relationship between group size and body size did not persist in a phylogenetically controlled analysis,Antelope
128,"relationship between group size and body size disappeared in the phylogenetically corrected analysis. similar changes in the strength of a relationship before and after phylogenetic control have been noted in other comparative studies (pagel, 1998)",Antelope
129,"the pattern of covariation between body size, group size, diet, and habitat fits with the expectation that ecology can influence the evolution of behavioural traits. the relationship between group size and body size is weaker within than between subfamilies of animals. this suggests a relative lack of",Antelope
130,"further comparative analyses in african animals have sought to refine and extend earlier findings. for instance, it is not clear whether animal species evolved larger group sizes after or before moving to more open habitats. one comparative analysis sought to uncover a relationship between group size and longevity.",Antelope
131,larger groups can detect predators sooner and counter-attack if needed. this makes larger groups more effective in avoiding predation. life-history theory predicts that such a reduction in extrinsic causes of mortality would lead to an increase in lifespan.,Antelope
132,the relationship between longevity and sociality is not apparent in other groups of species. this suggests that the pattern uncovered in animals may not be universal. why longevity fails to covary with sociality in different group of species remains to be investigated.,Antelope
133,", 2004) many of these traits may function as signals to alert other group members of a predation threat. such signals may also be directed at the predator and serve to deter attack. tail-flagging in fleeing white-tailed deer represents a classic example.",Antelope
134,"the results from this comparative analysis revealed several interesting associations between antipredator traits and group size in ungulates. if it turns out that tail-flagging is consistently associated with group living in a large number of species, we can be more certain that the behaviour serves to transfer information",Antelope
135,"many animals produce non-vocal locomotion-induced sounds that are sometimes called mechanical sounds. this result may indicate a need to alert companions or to communicate with predators. predator inspection, bunching, and group attacks are more predominant in larger species.",Antelope
136,"although locomotion-induced sounds are produced by nonspecialized morphology, and are involuntary, they are used by ungulates as associated element during their main behavioral displays. many mammal species drum, stamp, stomp, thump, strike, and bang on the ground, on butt",Antelope
137,"ungulates usually stamp the ground with one or both feet to produce single thumps, strike with shrubs, or tree trunks, sometimes grounds, using horns. elephants (elephas maximus), for example, bang their trunks on the ground to produce airborne vibrations",Antelope
138,"vibrational signals are usually integrated into vocalizations or visual displays. drumming can transmit various information about location, intention to travel, territorial ownership, competitive superiority, submission, and readiness to mate. this behavior may be a response to predators for warning of conspecifics or to",Antelope
139,"the loud clicking is audible up to several 100 m [37,51,68] and is a unique phenomenon to mature eland bulls. it is common to see displays of hoof alarm stamps in some tropical animals, such as duikers (cephalophus sp",Antelope
140,"some cervid species (axis deer—axis axis: [69] and gaur—bibos gaurus: [59) occasionally audibly stamp the ground in alarm situations. in addition, сaribou (rangifer tarandus) and elk",Antelope
141,") and wild sheep (ovis sp), commonly clash horns when fighting, which produce sounds audible up to a distance of a few 100 m. horning behavior (pushing or beating trees, bushes or shrubs with horns or antlers) has a wide distribution among families of c",Antelope
142,"hippos commonly use their entire bodies to energetically and noisily splash in water during agonistic confrontations. similar displays are also seen during space-claim activity, when they occasionally rise out of the water and splash back down.",Antelope
143,"it has a slender, tapering upper jaw (fig 1321) the first lower incisors have spatulate crowns, the edges of which account for two-thirds of the perimeter of the incisor/canine arcade.",Antelope
144,"the premolars are a little over half the size of the molars with wide center ridges. the molars have occlusal surfaces typical of browsers, with thin r3 ridges and wide lingual shelves.",Antelope
145,"sitatunga (tragelaphus spekii) has mesodont molars: m3hi = 254 (janis, 1988) the shape of the similar molar crowns of domestic cattle (bos taurus) can be seen in the radiograph",Antelope
146,"figure 1323 domestic cow (bos taurus) lateral radiograph of mandible showing molars (m1-m3, left) and posterior two premolars. it is not possible to assess the degree of hypsodonty in the more worn m1 and",Antelope
147,"group of animals forced to graze exclusively on dense stands of alien invader, d innoxia. two adult male animals from this group exhibited abnormal behavior in having an unsteady, jerky gait and a delayed response to visual and auditory stimuli.",Antelope
148,the toxic dose of hyoscyamine per os for cattle appears to be about 25 mg/kg in datura stramonium seed. the poisoning was also self-limiting as anorexia prevented further intake until levels of alkaloids were reduced.,Antelope
149,"the subcutaneous therapeutic dose of atropine for ruminants (005 mg/kg) is the same as for equines. in contrast the toxic oral dose for the horse (a hindgut fermenter) is, vide supra, 0.",Antelope
150,the signs of mainly ataxia and the extended course of intoxication over weeks and even months of goats and sheep produced by el dirdiri et al (1981) are also not at all reminiscent of muscarinic receptor blockade. massive doses of both d stramonium leaves or,Antelope
151,"datura spp. also contain calystegines (glycosidase inhibitors, vide supra) and its possible involvement with datura is mentioned by burrows and tyrl (2001) calystegine b2 was isolated from d wrightii (",Antelope
152,d stramonium might have succumbed from lysosomal storage disease rather than from chronic muscarinic blockade. it is possible that the same may apply to the calystegine polyhydroxylated pseudotropine alkaloids.,Antelope
153,"in loeffler’s footsteps – viral genomics in the era of high-throughput sequencing. innoxia (lindeque and scheepers, 1992) could possibly also be due to this syndrome.",Antelope
154,cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of new zealand for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots.,Antelope
155,"in 2005, a new and divergent pestivirus was found in a pronghorn animal. the affected animal was a young animal that was found wandering blind. routine diagnostic methods revealed a virus that showed some cross-neutralization with pestiviruses.",Antelope
156,"the virus was later on fully sequenced using next-generation sequencing on an illumina miseq platform and an ion torrent machine. at present, this virus would be considered the member of a novel pestivirus species, and one of the more divergent lineages.",Antelope
157,"pestiviruses detected prior to 2010 are highlighted in blue, and viruses isolated since 2010 are shown in red. neighbor-joining tree based on complete genome sequences of representative pestivirus strains, isolate name and accession number.",Antelope
158,"prices of whole carcasses of bushmeat vary between an average of $40 for animals, $20 for primates, $57 for bushpig, and $5 for rodents. the scale bar indicates nucleotide substitutions per site.",Antelope
159,"the information provided in this chapter was obtained between 1979 and 2009. while “quarters” of larger mammals such as jentink’s duiker, bushbuck were sold at $10–$14, and whole carcase of cane rat or porcupine also cost",Antelope
160,prices of bushmeat per kilogram dry weight showed that primates ($215/kg) and animals ($149/ kg) were the most expensive. the main bushmeat price for liberia in 1990 (all species considered) was $132/kg.,Antelope
161,up to a dozen pronghorn species populated the prairies of north america as little as a million years ago. their numbers were enormous – as many as 40 million in 1800 – before excess hunting and disease reduced their numbers dramatically.,Antelope
162,"phylogenetically, pronghorns are close to bovids, although their horns are much smaller. paramoceros and ramoceros from new mexico and paracosoryx from nebraska are remarkably convergent on antlers.",Antelope
163,"the corkscrew spiral horns of a male cabul markhor, capra falconeri, from northern india. these horns attain lengths of 160 cm in males but rarely more than 25 cm in females.",Antelope
164,"5 turns in each horn are typical of horns that are usually around 120 cm in length; the record is 180 cm (b) no less impressive are the horns of a male lesser kudu, strepsiceros imberbis.",Antelope
165,"6) they are sharp-edged in section, solid, unbranched and covered with a layer of epidermal cells that forms horn (keratin) but not velvet. in pronghorn animal, antilocapra americana, before the old horn is",Antelope
166,"the horn is shed in synchrony with an annual testosterone cycle. the epidermal layer is shed annually and then replaced, becoming subdivided into the prongs that give the animal its common name. females sometimes develop a bony knob on the skull from which a horn may or may",Antelope
167,"at least one species of most major lineages within the bovidae sheds its horns (figures 71 and 75)5. of interest, at least one of the most common species of bovid shows signs of shedding its horns.",Antelope
168,animals are a polyphyletic group of herbivorous african and asian animals of the family bovidae. they are distinguished by a pair of hollow horns on their heads.,Antelope
169,"there are many different species of animal, ranging in size from the tiny royal animal to the giant eland. they typically have a light, elegant figure, are slender, have graceful limbs, small cloven hoofs and a short tail.",Antelope
170,"apart from basic characteristics, animals differ from each other in appearance and physiology almost as much as they differ from other members of the cattle, goat, and sheep family. for example, the common eland towers over most breeds of domestic cattle and can be 300 times heavier than the",Antelope
